question,grade,mj,im,tag,a1,difficulty,style,type,exp
"$x$ 에 대한 이차방정식 $4 x^2+4 b x+a^2-2=0$ 이 중근을 가질 때, 이차방정식 $x^2-2 b x+2 a^2+5=0$ 의 근을 판별하면? (단 $a, b$ 는 실수이다.)",10,방정식과 부등식,,N10_2_2_6,,1,주관식,쌍둥이,"이차방정식 $4 x^2+4 b x+a^2-2=0$ 의 판별식을 $D_1$ 이라 하면

$$
\begin{array}{l}
\frac{D_1}{4}=(2 b)^2-4\left(a^2-2\right)=0 \\
\therefore b^2=a^2-2
\end{array}
$$


이차방정식 $x^2-2 b x+2 a^2+5=0$ 의 판별식을 $D_2$ 라 하면

$$
\frac{D_2}{4}=(-b)^2-\left(2 a^2+5\right)=b^2-2 a^2-5
$$

$b^2=a^2-2$ 를 위 식에 대입하면

$$
\frac{D_2}{4}=a^2-2-2 a^2-5=-a^2-7<0(\because a \text { 는 실수 })
$$


따라서 이차방정식 $x^2-2 b x+a^2+6=0$ 은 서로 다른 두 허근을 갖는다."
"이차방정식 $(a+c)\left(x^2+1\right)+2(b+c) x=0$ 이 중근을 가질 때, 세 양수 $a$, $b, c$ 를 세 변의 길이로 하는 삼각형은 어떤 삼각형인가?
(1) 정삼각형
(2) 둔각삼각형
(3) $a=b$ 인 이등변삼각형
(4) $a=c$ 인 이등변삼각형
(5) 빗변의 길이가 $c$ 인 직각삼각형",10,방정식과 부등식,,N10_2_2_7,,0,주관식,쌍둥이,"이차방정식 $(a+c)\left(x^2+1\right)+2(b+c) x=0$ 에서

$$
(a+c) x^2+2(b+c) x+(a+c)=0
$$


이차방정식이 중근을 가지므로 판별식을 $D$ 라 하면

$$
\frac{D}{4}=(b+c)^2-(a+c)^2=0
$$


$$
\therefore(b-a)(b+a+2 c)=0
$$

$a, b, c$ 는 양수이므로 $b-a=0$

$$
\therefore a=b
$$


따라서 $a, b, c$ 를 세 변의 길이로 하는 삼각형은 $a=b$ 인 이등변삼각형이 다."
"이차방정식 $(a-c) x^2+2 b x+a+c=0$ 이 허근을 가질 때, $a, b, c$ 를 세 변의 길이로 하는 삼각형은 어떤 삼각형인가? (단, $a, b, c$ 는 실수이다.)
(1) 정삼각형
(2) 둔각삼각형
(3) $a=b$ 인 이등변삼각형
(4) 빗변의 길이가 $a$ 인 직각삼각형
(5) 빗변의 길이가 $c$ 인 직각삼각형",10,방정식과 부등식,,N10_2_2_7,,1,주관식,쌍둥이,"이차방정식 $(a-c) x^2+2 b x+a+c=0$ 이 허근을 가지므로 판별식을 $D$ 라 하면

$$
\begin{array}{l}
\frac{D}{4}=b^2-(a-c)(a+c)<0 \\
b^2-\left(a^2-c^2\right)<0 \quad \therefore a^2>b^2+c^2
\end{array}
$$


따라서 $a, b, c$ 를 세 변의 길이로 하는 삼각형은 둔각삼각형이다."
,10,방정식과 부등식,,N10_2_2_8,,0,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_8,,1,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_9,,0,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_9,,1,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_10,,0,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_10,,1,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_11,,0,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_11,,1,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_12,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_12,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_13,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_13,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_14,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_14,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_15,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_15,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_16,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_16,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_17,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_17,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_18,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_18,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_19,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_19,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_20,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_20,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_21,,,주관식,쌍둥이,
,10,방정식과 부등식,,N10_2_2_21,,,주관식,쌍둥이,
"이차함수 $y = x^2 + ax + b$의 그래프가 $x$축과 두 점 $A\left(2,0\right)$, $B\left(5,0\right)$에서 만날 때, 상수 $a, b$의 합 $a + b$의 값은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_1,$3$,0,주관식,쌍둥이,"이차함수 $y = x^2 + ax + b$의 그래프와 $x$축과의 교점의 $x$좌표가 $2, 5$이므로 이차방정식 $x^2 + ax + b = 0$의 두 근이다. 근과 계수의 관계에 의하여 $ -a = 7, \quad b = 10 $ 따라서 $ a = -7, \quad b = 10$ 이므로 $ a + b = 3 $"
"이차함수 $y = x^2 + ax + 6$의 그래프와 $x$축의 교점의 $x$좌표가 $-2, b$일 때, 상수 $a, b$에 대하여 $a + b$의 값을 구하시오.",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_1,$2$,0,주관식,쌍둥이,"이차방정식 $x^2 + ax + 6 = 0$의 두 근이 $-2, b$이므로 근과 계수의 관계에 의하여 $ -2 + b = -a, \quad -2 \times b = 6 $ $\therefore a = 5, \quad b = -3$ $\therefore a + b = 2$"
이차함수 $y = x^2 - 6x + k + 5$의 그래프가 $x$축과 서로 다른 두 점에서 만나도록 하는 정수 $k$의 최댓값은?,10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_2,$3$,0,주관식,쌍둥이,"이차함수 $y = x^2 - 6x + k + 5$의 그래프가 $x$축과 서로 다른 두 점에서 만나려면 이차방정식 $x^2 - 6x + k + 5 = 0$이 서로 다른 두 실근을 가져야 하므로 판별식을 $D$라 하면 $D = (-3)^2 - (k+5) > 0$, $\therefore k < 4$ 따라서 정수 $k$의 최댓값은 $3$이다."
"이차함수 $y = x^2 + 3x + 1$의 그래프와 직선 $y = ax + b$의 두 교점의 $x$좌표가 각각 $-1, 2$일 때, 상수 $a, b$에 대하여 $a + b$의 값은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_3,$7$,0,주관식,쌍둥이,"이차함수 $y = x^2 + 3x + 1$의 그래프와 직선 $y = ax + b$의 두 교점의 $x$좌표가 각각 $-1, 2$이므로 $-1, 2$는 이차방정식 $ x^2 + 3x + 1 = ax + b $, 즉 $ x^2 - \left(a - 3\right)x - b + 1 = 0$의 두 근이다. 따라서 이차방정식의 근과 계수의 관계에 의하여 $ -1 + 2 = a - 3, \quad -1 \times 2 = -b + 1 $ $ a = 4, \quad b = 3 $ $\therefore a + b = 4 + 3 = 7$"
"이차함수 $y = 2x^2 + x - 1$의 그래프와 직선 $y = ax + b$의 두 교점의 $x$좌표가 각각 $-4, 1$일 때, 상수 $a, b$에 대하여 $a + b$의 값을 구하시오.",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_3,$2$,0,주관식,쌍둥이,"이차함수 $y = 2x^2 + x - 1$의 그래프와 직선 $y = ax + b$의 두 교점의 $x$좌표가 각각 $-4, 1$이므로 $-4, 1$은 이차방정식 $ 2x^2 + x - 1 = ax + b $, 즉 $ 2x^2 + \left(1 - a\right)x - 1 - b = 0$의 두 근이다. 따라서 이차방정식의 근과 계수의 관계에 의하여 $ -4 + 1 = \dfrac{a - 1}{2}, \quad -4 \times 1 = \dfrac{-b - 1}{2} $ $ a = -5, \quad b = 7 $ $\therefore a + b = -5 + 7 = 2$"
이차함수 $y = x^2 + 3x + \dfrac{1}{2} k$의 그래프와 직선 $y = x + 4$이 만나도록 하는 상수 $k$의 값의 범위는?,10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_4,$k \leq 10$,0,주관식,쌍둥이,"$x^2+3x+\dfrac{1}{2}k=x+4$, $x^2+2x+\dfrac{1}{2}k-4=$ 이 이차방정식의 판별식을 D라고 하면 $\dfrac{D}{4}=1^2-\left(\dfrac{1}{2}k-4 right)=5-\dfrac{1}{2}k \geq0$ $\therefore 10\geq k$"
"점 $\left(3,-1\right)$을 지나고, 이차함수 $y = x^2 - 3x + 4$의 그래프와 접하는 두 직선의 기울기의 곱은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_5,$-11$,1,주관식,쌍둥이,"구하는 직선의 방정식을 $y = mx + n$이라 하면 이 직선이 점 $\left(3,-1\right)$을 지나므로 $ -1 = 3m + n \quad \therefore n = -3m - 1 $ 따라서 구하는 직선의 방정식은 $y = mx - 3m - 1$이다. 이 직선이 이차함수 $y = x^2 - 3x + 4$의 그래프와 접하므로 방정식 $x^2 - 3x + 4 = mx - 3m - 1$ 즉, $x^2 - \left(m+3\right)x + 3m + 5 = 0$의 판별식을 $D$라 하면 $ D = \left\{ -\left(m+3\right) \right\}^2 - 4\left(3m + 5\right) = 0 $ $\therefore m^2 - 6m - 11 = 0$ 이 방정식의 두 실근을 $\alpha, \beta$라 하면 $\alpha, \beta$는 두 직선의 기울기이므로 구하는 기울기의 곱은 근과 계수의 관계에 의하여 $ \alpha \beta = -11 $"
"점 $\left(2,1\right)$을 지나고, 이차함수 $y = x^2 - 3x + 5$의 그래프와 접하는 두 직선의 기울기의 합은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_5,$2$,1,주관식,쌍둥이,"구하는 직선의 방정식을 $y = mx + n$이라 하면 이 직선이 점 $\left(2,1\right)$을 지나므로 $ 1 = 2m + n \quad \therefore n = -2m + 1 $ 따라서 구하는 직선의 방정식은 $y = mx - 2m + 1$이다. 이 직선이 이차함수 $y = x^2 - 3x + 5$의 그래프와 접하므로 방정식 $y = x^2 - 3x + 5 = mx - 2m + 1$ 즉, $x^2 - \left(m+3\right)x + 2m + 4 = 0$의 판별식을 $D$라 하면 $ D = \left\{ -\left(m+3\right) \right\}^2 - 4\left(2m + 4\right) = 0 $ $\therefore m^2 - 2m - 7 = 0$ 이 방정식의 두 실근을 $\alpha, \beta$라 하면 $\alpha, \beta$는 두 직선의 기울기이므로 구하는 기울기의 합은 근과 계수의 관계에 의하여 $ \alpha + \beta = 2 $"
"이차함수 $y = 2x^2 - 2x + k$의 최솟값과 이차함수 $y = -\dfrac{1}{4}x^2 - x - 2k$의 최댓값이 같을 때, 상수 $k$의 값은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_6,$\dfrac{1}{2}$,0,주관식,쌍둥이,$ y = 2x^2 - 2x + k = 2\left(x - \dfrac{1}{2}\right)^2 - \dfrac{1}{2} + k$이므로 $ x = \dfrac{1}{2}$에서 최솟값 $-\dfrac{1}{2} + k$를 갖는다. $ y = -\dfrac{1}{4}x^2 - x - 2k = -\dfrac{1}{4}\left(x + 2\right)^2 + 1 - 2k$이므로 $ x = -2$에서 최댓값 $1 - 2k$를 갖는다. 이때 최솟값과 최댓값이 같으므로 $ -\dfrac{1}{2} + k = 1 - 2k \quad \therefore k = \dfrac{1}{2} $
"이차함수 $y = 3x^2 - 3x + k$의 최솟값과 이차함수 $y = -\dfrac{1}{2}x^2 - x + 3k$의 최댓값이 같을 때, 상수 $k$의 값은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_6,$-\dfrac{5}{8}$,0,주관식,쌍둥이,$ y = 3x^2 - 3x + k = 3\left(x - \dfrac{1}{2}\right)^2 - \dfrac{3}{4} + k$이므로 $ x = \dfrac{1}{2}$에서 최솟값 $-\dfrac{3}{4} + k$를 갖는다. $ y = -\dfrac{1}{2}x^2 - x + 3k = -\dfrac{1}{2}\left(x + 1\right)^2 + \dfrac{1}{2} + 3k$이므로 $ x = -1$에서 최댓값 $\dfrac{1}{2} + 3k$를 갖는다. 이때 최솟값과 최댓값이 같으므로 $ -\dfrac{3}{4} + k = \dfrac{1}{2} + 3k \quad \therefore k = -\dfrac{5}{8} $
"$0 \leq x \leq 4$에서 이차함수 $f(x) = 2x^2 - 4x + k$의 최댓값이 $25$일 때, $f(x)$의 최솟값을 구하시오. (단, $k$는 상수이다.)",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_7,$7$,1,주관식,쌍둥이,$ f(x) = 2x^2 - 4x + k = 2\left(x - 1\right)^2 + k - 2$이므로 $0 \leq x \leq 4$에서 $y = f(x)$의 그래프는 다음 그림과 같다. 최댓값이 $16 + k = 25$이므로 $k = 9$ 따라서 $f(x)$의 최솟값은 $9 - 2 = 7$
"$-4 \leq x \leq -2$에서 이차함수 $f(x) = -3x^2 - 6x + k$의 최솟값이 $-8$일 때, $f(x)$의 최댓값을 구하시오. (단, $k$는 상수이다.)",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_7,$16$,1,주관식,쌍둥이,$ f(x) = -3x^2 - 6x + k = -3\left(x + 1\right)^2 + k + 3$이므로 $-4 \leq x \leq -2$에서 $y = f(x)$의 그래프는 다음 그림과 같다. $x = -4$에서 최솟값 $k - 24$를 가지므로 $k - 24 = -8 \quad \therefore k = 16$ 따라서 $f(x)$의 최댓값은 $k = 16$
"$-2 \leq x \leq 3$일 때, 함수 $y = \left(x^2 - 2x + 4\right)^2 - 2\left(x^2 - 2x + 4\right) + 2$의 최댓값과 최솟값의 합을 구하시오.",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_8,$127$,1,주관식,쌍둥이,"$x^2 - 2x + 4 = A$로 놓으면 $A = \left(x - 1\right)^2 + 3$, $-2 \leq x \leq 3$이므로 $A$는 $x = 1$에서 최솟값 $3$, $x = -2$에서 최댓값 $12$를 가진다. $\therefore 3 \leq A \leq 12$ 이때 주어진 함수는 $ y = A^2 - 2A + 2 $ $ = \left(A - 1\right)^2 + 1 \quad (3 \leq A \leq 12)$ 따라서 $A = 3$일 때 최솟값 $5$이고, $A = 12$일 때 최댓값 $122$이므로 $5 + 122 = 127$"
"$-2 \leq x \leq 0$일 때, 함수 $y = \left(x^2 + 6x\right)^2 + 4\left(x^2 + 6x\right) - 6$의 최댓값과 최솟값의 합을 구하시오.",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_8,$16$,1,주관식,쌍둥이,"$x^2 + 6x = A$로 놓으면 $A = \left(x + 3\right)^2 - 9$, $-2 \leq x \leq 0$이므로 $A$는 $x = -2$에서 최솟값 $-8$, $x = 0$에서 최댓값 $0$을 가진다. $\therefore -8 \leq A \leq 0$ 이때 주어진 함수는 $ y = A^2 + 4A - 6 $ $ = \left(A + 2\right)^2 - 10 \quad (-8 \leq A \leq 0)$ 따라서 $A = -2$일 때 최솟값 $-10$이고, $A = -8$일 때 최댓값 $26$이므로 $26 + (-10) = 16$"
"$x, y$가 실수일 때, $3x^2 + 2y^2 - 6x + 8y + 15$의 최솟값을 구하면?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_9,$4$,0,주관식,쌍둥이,"$3x^2 + 2y^2 - 6x + 8y + 15$ $ = 3x^2 - 6x + 2y^2 + 8y + 15$ $ = 3\left(x - 1\right)^2 + 2\left(y + 2\right)^2 + 4$ 이때 $x, y$가 실수이므로 $(x - 1)^2 \geq 0, \quad (y + 2)^2 \geq 0$ $\therefore 3x^2 + 2y^2 - 6x + 8y + 15 \geq 4$ 따라서 주어진 식의 최솟값은 $4$이다."
"$x, y$가 실수일 때, $-2x^2 - 3y^2 + 8x - 12y - 25$의 최댓값은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_9,$-5$,0,주관식,쌍둥이,"$-2x^2 - 3y^2 + 8x - 12y - 25$ $ = -2\left(x - 2\right)^2 - 3\left(y + 2\right)^2 - 5$ 이때 $x, y$가 실수이므로 $(x - 2)^2 \geq 0, \quad (y + 2)^2 \geq 0$ $\therefore -2(x - 2)^2 - 3(y + 2)^2 - 5 \leq -5$ 따라서 주어진 식의 최댓값은 $-5$이다."
"실수 $a, b$에 대하여 $-1 \leq a \leq 2$이고 $2a - b = 4$일 때, $ab$의 최댓값과 최솟값을 구하시오.",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_10,"최댓값$=6$, 최솟값$=-2$",1,주관식,쌍둥이,"$2a - b = 4$에서 $b = 2a - 4$ $\therefore ab = a(2a - 4) = 2a^2 - 4a$ $ = 2(a - 1)^2 - 2$ 이때 $-1 \leq a \leq 2$이므로 $a = -1$일 때 최댓값 $6$, $a = 1$일 때 최솟값 $-2$이다."
"실수 $a, b$에 대하여 $-2 \leq a \leq 1$이고 $a - b = -2$일 때, $ab$의 최댓값과 최솟값의 합을 구하시오.",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_10.,$2$,1,주관식,쌍둥이,"$a - b = -2$에서 $b = a + 2$ $\therefore ab = a(a + 2) = a^2 + 2a$ $ = (a + 1)^2 - 1$ 이때 $-2 \leq a \leq 1$이므로 $a = 1$일 때 최댓값 $3$, $a = -1$일 때 최솟값 $-1$이다. 따라서 구하는 합은 $3 + (-1) = 2$"
"직각을 낀 두 변의 길이의 합이 $8 \, \textrm{cm}$인 직사각형의 넓이의 최댓값은?",10,방정식과 부등식,이차방정식과 이차함수,N10_2_3_11,"$16\,\textrm{cm^2}$",0,주관식,쌍둥이,"직사각형의 직각을 낀 한 변의 길이를 $x \, \textrm{cm}$라고 하면 다른 한 변의 길이는 $(8 - x) \, \textrm{cm}$이다. 직사각형의 넓이를 $S \, \textrm{cm}^2$라고 하면 $S = x \times (8 - x)$ $= - x^2 + 8x$ $= - (x - 4)^2 + 16$ 이때 $0 < x < 8$이므로 직사각형의 넓이의 최댓값은 $x = 4$일 때 $16 \, \textrm{cm}^2$이다."
